Membership No  Date Joined  Active
    96568      2020-11-23   no    
    50478      2018-9-13    no    
    25861      2017-2-3     no    
    47718      2019-6-18    no    
    89392      2016-10-19   no    
    38473      2020-9-25    no    
    88381      2015-9-3     no    
    10874      2020-2-6     no    
    31675      2017-4-16    no    
    48928      2018-3-4     no    
    54146      2016-1-7     no    
    65543      2019-6-24    no    
    41037      2015-4-18    no    
    44243      2018-5-2     no    
    40753      2018-7-10    no    
    35311      2020-6-1     no    
    20399      2020-1-15    no    
