Membership No  Date Joined  Active
    98735      2018-7-21    no    
    11755      2019-2-20    no    
    32708      2018-4-13    no    
    31030      2016-11-19   no    
    90725      2015-7-16    no    
    59499      2020-4-12    no    
    57877      2018-8-15    no    
    40895      2017-11-25   no    
    58349      2019-3-12    no    
    63472      2017-11-5    no    
    77885      2016-4-24    no    
    38379      2015-6-20    no    
    20937      2015-3-2     no    
    28816      2020-1-18    no    
